13000	2	0.791041	0.0423033	0	0	0.791041	0.0423032
13000	3	1.0783	0.0161499	0	0	1.0783	0.0161497
13000	4	1.17325	0.0073704	0	0	1.17324	0.00737026
13000	5	1.20513	0.00531611	0	0	1.20511	0.00531587
13000	6	1.1927	0.915109	0	0	1.19267	0.915015
13000	7	1.15017	0.400769	0	0	1.15012	0.400717
13000	8	1.10498	0.172453	0	0	1.10489	0.172384
13000	9	1.04438	0.0740659	0	0	1.04422	0.074923
13000	10	0.98104	0.0327999	0	0	0.980832	0.0327705
13000	11	0.917034	0.0205789	0	0	0.916749	0.0205829
13000	12	0.85473	0.01302	0	0	0.85435	0.0130054
13000	13	0.794341	0.00816541	0	0	0.793853	0.0143584
13000	14	0.737965	0.00629108	0	0	0.737338	0.00629172
13000	15	0.68474	0.00429199	0	0	0.683985	0.00411472
13000	16	0.634894	0.00289209	0	0	0.633982	0.00282802
13000	17	0.588409	0.00204987	0	0	0.587325	0.00198146
13000	18	0.545225	0.00169717	0	0	0.543956	0.00170764
13000	19	0.505123	0.00249838	0	0	0.503663	0.00122258
13000	20	0.467953	0.000971475	0	0	0.466275	0.00100345
13000	21	0.433467	0.000720628	0	0	0.431568	0.00173523
13000	22	0.401503	0.000627779	0	0	0.399375	0.000669256
13000	24.85	0.322627	0.000414586	0	0	0.319802	0.000423302
13000	27.7	0.258951	0.000185524	0	0	0.255399	0.000190084
13000	30.55	0.207337	0.000169481	0	0	0.20307	0.000150967
13000	33.4	0.165329	0.000113493	0	0	0.1604	0.000118644
13000	36.25	0.131005	7.53856e-05	0	0	0.125508	8.08749e-05
13000	39.1	0.10286	6.32293e-05	0	0	0.0969284	5.75397e-05
13000	41.95	0.0797161	3.65601e-05	0	0	0.0735202	3.61662e-05
13000	44.8	0.0606426	2.9896e-05	0	0	0.0543857	3.07779e-05
13000	47.65	0.0449018	2.7217e-05	0	0	0.0388096	2.485e-05
13000	50.5	0.0319034	2.45936e-05	0	0	0.0262178	1.5693e-05
13000	53.35	0.0211735	2.47588e-05	0	0	0.0161408	1.14627e-05
13000	56.2	0.0123269	2.03104e-05	0	0	0.00818848	8.73574e-06
13000	59.05	0.00505036	1.6579e-05	0	0	0.00202987	7.85078e-06
13000	61.9	-0.000913122	1.27863e-05	0	0	-0.00262012	9.92976e-06
13000	64.75	-0.00577554	9.20906e-06	0	0	-0.00601215	7.64482e-06
13000	67.6	-0.0097125	7.53621e-06	0	0	-0.00836896	9.05788e-06
13000	70.45	-0.0128704	6.76381e-06	0	0	-0.00976247	9.63025e-06
13000	73.3	-0.0153717	7.00349e-06	0	0	-0.0105817	5.23742e-06
13000	76.15	-0.0173189	5.10312e-06	0	0	-0.0108656	3.61727e-06
13000	79	-0.0187989	4.51081e-06	0	0	-0.0107451	3.19554e-06
13000	81.85	-0.0198849	3.97577e-06	0	0	-0.0103349	2.5803e-06
13000	84.7	-0.0206392	5.21598e-06	0	0	-0.00973132	1.77093e-06
13000	87.55	-0.0211148	3.52104e-06	0	0	-0.0090124	1.2762e-06
13000	90.4	-0.0213565	3.14466e-06	0	0	-0.00823777	8.53966e-07
13000	93.25	-0.0214031	2.83298e-06	0	0	-0.00745128	6.8215e-07
13000	96.1	-0.0212873	2.70273e-06	0	0	-0.00668338	5.72108e-07
13000	98.95	-0.0210377	1.2685e-05	0	0	-0.00595404	5.43682e-07
13000	101.8	-0.0206782	3.28946e-06	0	0	-0.00527522	4.34729e-07
13000	104.65	-0.0202296	2.01322e-06	0	0	-0.00465297	4.12546e-07
13000	107.5	-0.0197098	1.9997e-06	0	0	-0.00408927	1.42506e-06
13000	110.35	-0.0191341	1.71329e-06	0	0	-0.00358326	2.22056e-07
13000	113.2	-0.0185154	1.40525e-06	0	0	-0.00313229	1.77817e-07
13000	116.05	-0.017865	1.8731e-06	0	0	-0.00273283	1.54386e-07
13000	118.9	-0.0171924	1.39846e-06	0	0	-0.00238049	2.35465e-07
13000	121.75	-0.0165058	1.11511e-06	0	0	-0.0020709	9.01835e-08
13000	124.6	-0.0158121	1.20724e-06	0	0	-0.0017997	8.73861e-08
13000	127.45	-0.0151171	8.89604e-07	0	0	-0.00156269	8.66019e-08
13000	130.3	-0.0144257	8.40259e-07	0	0	-0.00135598	6.58252e-08
13000	133.15	-0.0137421	9.22352e-07	0	0	-0.00117597	5.46902e-08
13000	136	-0.0130696	6.90376e-07	0	0	-0.00101942	5.05053e-08
13000	138.85	-0.0124111	6.55508e-07	0	0	-0.0008834	4.35561e-08
13000	141.7	-0.0117688	4.59981e-07	0	0	-0.000765322	4.06667e-08
13000	144.55	-0.0111445	4.64327e-07	0	0	-0.000662884	3.00699e-08
13000	147.4	-0.0105396	4.43795e-07	0	0	-0.000574059	2.25829e-08
13000	150.25	-0.00995528	4.42349e-07	0	0	-0.000497071	2.2882e-08
13000	153.1	-0.00939221	3.98467e-07	0	0	-0.000430362	1.59445e-08
13000	155.95	-0.00885094	3.1026e-07	0	0	-0.000372574	1.0641e-08
13000	158.8	-0.00833175	2.70103e-07	0	0	-0.000322523	9.43097e-09
13000	161.65	-0.00783477	2.80453e-07	0	0	-0.00027918	1.22003e-08
13000	164.5	-0.00735992	2.59073e-07	0	0	-0.000241647	7.52352e-09
13000	167.35	-0.00690703	2.64182e-07	0	0	-0.00020915	6.57831e-09
13000	170.2	-0.00647579	3.11237e-07	0	0	-0.000181013	4.85352e-09
13000	173.05	-0.00606579	1.92144e-07	0	0	-0.000156652	5.07932e-09
13000	175.9	-0.00567659	1.84464e-07	0	0	-0.000135562	4.01066e-09
